Time(s),CH1V,CH2V
0.000000e+00,-2.453333e-03,-5.020000e-01
1.000000e-01,2.427200e-01,-1.097600e+01
2.000000e-01,2.376000e-01,-1.104733e+01
3.000000e-01,2.364533e-01,-1.112000e+01
4.000000e-01,2.369867e-01,-1.113667e+01
5.000000e-01,2.294933e-01,-1.120933e+01
6.000000e-01,2.274133e-01,-1.113533e+01
7.000000e-01,2.296800e-01,-1.128800e+01
8.000000e-01,2.256800e-01,-1.128467e+01
9.000000e-01,2.192533e-01,-1.143067e+01
1.000000e+00,2.395733e-01,-1.123000e+01
1.100000e+00,2.293333e-01,-1.119600e+01
1.200000e+00,2.320000e-01,-1.144267e+01
1.300000e+00,2.340267e-01,-1.125867e+01
1.400000e+00,2.318133e-01,-1.138267e+01
1.500000e+00,2.338400e-01,-1.138800e+01
1.600000e+00,2.230133e-01,-1.133267e+01
1.700000e+00,2.453067e-01,-1.123267e+01
1.800000e+00,2.392267e-01,-1.150733e+01
1.900000e+00,2.426400e-01,-1.137533e+01
2.000000e+00,2.371467e-01,-1.141933e+01
2.100000e+00,2.332000e-01,-1.124133e+01
2.200000e+00,2.362667e-01,-1.138533e+01
2.300000e+00,2.353067e-01,-1.125867e+01
2.400000e+00,2.270133e-01,-1.139600e+01
2.500000e+00,2.140267e-01,-1.142933e+01
2.600000e+00,2.316000e-01,-1.138400e+01
2.700000e+00,2.299200e-01,-1.134000e+01
2.800000e+00,2.296267e-01,-1.137267e+01
2.900000e+00,2.328533e-01,-1.124667e+01
3.000000e+00,2.377333e-01,-1.134933e+01
3.100000e+00,2.301333e-01,-1.131667e+01
3.200000e+00,2.555200e-01,-1.151133e+01
3.300000e+00,2.313067e-01,-1.121467e+01
3.400000e+00,2.591467e-01,-1.107800e+01
3.500000e+00,2.316533e-01,-1.144800e+01
3.600000e+00,2.267733e-01,-1.133267e+01
3.700000e+00,2.710400e-01,-1.151667e+01
3.800000e+00,2.323467e-01,-1.148533e+01
3.900000e+00,2.353067e-01,-1.126733e+01
4.000000e+00,2.219733e-01,-1.133733e+01
4.100000e+00,2.250400e-01,-1.147867e+01
4.200000e+00,2.244533e-01,-1.149467e+01
4.300000e+00,2.297333e-01,-1.137400e+01
4.400000e+00,2.476800e-01,-1.123800e+01
4.500000e+00,2.308800e-01,-1.136067e+01
4.600000e+00,2.277600e-01,-1.134133e+01
4.700000e+00,2.322933e-01,-1.135800e+01
4.800000e+00,2.329333e-01,-1.151667e+01
4.900000e+00,2.320533e-01,-1.130667e+01
5.000000e+00,2.329333e-01,-1.135600e+01
5.100000e+00,2.415467e-01,-1.158267e+01
5.200000e+00,2.280000e-01,-1.133133e+01
5.300000e+00,2.294400e-01,-1.139333e+01
5.400000e+00,2.315200e-01,-1.141800e+01
5.500000e+00,2.260800e-01,-1.143733e+01
5.600000e+00,2.262133e-01,-1.139600e+01
5.700000e+00,2.347733e-01,-1.145133e+01
5.800000e+00,2.334400e-01,-1.137133e+01
5.900000e+00,2.328533e-01,-1.133000e+01
6.000000e+00,2.267733e-01,-1.148533e+01
6.100000e+00,2.250400e-01,-1.132467e+01
6.200000e+00,2.271200e-01,-1.145667e+01
6.300000e+00,2.331467e-01,-1.146467e+01
6.400000e+00,2.354133e-01,-1.132333e+01
6.500000e+00,2.274133e-01,-1.140267e+01
6.600000e+00,2.201867e-01,-1.134267e+01
6.700000e+00,2.274667e-01,-1.131267e+01
6.800000e+00,2.282400e-01,-1.138267e+01
6.900000e+00,2.199467e-01,-1.143867e+01
7.000000e+00,2.284000e-01,-1.137267e+01
7.100000e+00,2.304267e-01,-1.143333e+01
7.200000e+00,2.301333e-01,-1.135800e+01
7.300000e+00,2.322933e-01,-1.119333e+01
7.400000e+00,2.318133e-01,-1.132200e+01
7.500000e+00,2.312533e-01,-1.151800e+01
7.600000e+00,2.381867e-01,-1.139600e+01
7.700000e+00,2.812267e-01,-1.135800e+01
7.800000e+00,2.399733e-01,-1.138800e+01
7.900000e+00,2.303733e-01,-1.139067e+01
8.000000e+00,2.289333e-01,-1.132867e+01
8.100000e+00,2.435200e-01,-1.140467e+01
8.200000e+00,2.304267e-01,-1.157467e+01
8.300000e+00,2.242400e-01,-1.156200e+01
8.400000e+00,2.231200e-01,-1.130800e+01
8.500000e+00,2.287467e-01,-1.138667e+01
8.600000e+00,2.264267e-01,-1.134267e+01
8.700000e+00,2.242933e-01,-1.129333e+01
8.800000e+00,2.341333e-01,-1.138933e+01
8.900000e+00,2.300267e-01,-1.128800e+01
9.000000e+00,2.859200e-01,-1.134133e+01
9.100000e+00,2.339733e-01,-1.134800e+01
9.200000e+00,2.359200e-01,-1.129333e+01
9.300000e+00,2.276000e-01,-1.134133e+01
9.400000e+00,2.336267e-01,-1.134800e+01
9.500000e+00,2.306133e-01,-1.132600e+01
9.600000e+00,2.329867e-01,-1.152533e+01
9.700000e+00,2.310133e-01,-1.144400e+01
9.800000e+00,2.792533e-01,-1.059600e+01
9.900000e+00,2.410400e-01,-1.141000e+01
1.000000e+01,2.307200e-01,-1.136600e+01
1.010000e+01,2.276533e-01,-1.144133e+01
1.020000e+01,2.292800e-01,-1.117933e+01
1.030000e+01,2.364000e-01,-1.129333e+01
1.040000e+01,2.087200e-01,-1.102133e+01
1.050000e+01,2.876000e-01,-1.132200e+01
1.060000e+01,2.544533e-01,-1.174467e+01
1.070000e+01,2.385867e-01,-1.141933e+01
1.080000e+01,2.315200e-01,-1.139867e+01
1.090000e+01,2.295733e-01,-1.141267e+01
1.100000e+01,2.268267e-01,-1.150467e+01
1.110000e+01,2.328533e-01,-1.151400e+01
1.120000e+01,2.172267e-01,-1.151933e+01
1.130000e+01,2.352267e-01,-1.151267e+01
1.140000e+01,2.274133e-01,-1.132867e+01
1.150000e+01,2.026933e-01,-1.123267e+01
1.160000e+01,2.285867e-01,-1.127933e+01
1.170000e+01,2.252800e-01,-1.134000e+01
1.180000e+01,2.281067e-01,-1.148667e+01
1.190000e+01,2.273600e-01,-1.132733e+01
1.200000e+01,2.216800e-01,-1.139600e+01
1.210000e+01,2.282400e-01,-1.137533e+01
1.220000e+01,2.210933e-01,-1.145133e+01
1.230000e+01,2.348267e-01,-1.133467e+01
1.240000e+01,2.307733e-01,-1.154467e+01
1.250000e+01,2.207467e-01,-1.134400e+01
1.260000e+01,2.215733e-01,-1.141533e+01
1.270000e+01,2.264267e-01,-1.134000e+01
1.280000e+01,2.299200e-01,-1.141800e+01
1.290000e+01,2.333333e-01,-1.135600e+01
1.300000e+01,2.231200e-01,-1.133733e+01
1.310000e+01,2.275467e-01,-1.134533e+01
1.320000e+01,2.290933e-01,-1.148000e+01
1.330000e+01,2.622933e-01,-1.143067e+01
1.340000e+01,2.265600e-01,-1.134933e+01
1.350000e+01,2.391200e-01,-1.164867e+01
1.360000e+01,2.311200e-01,-1.141400e+01
1.370000e+01,2.242933e-01,-1.135600e+01
1.380000e+01,2.963467e-01,-1.153867e+01
1.390000e+01,2.288000e-01,-1.144533e+01
1.400000e+01,2.001333e-01,-1.137400e+01
1.410000e+01,2.237600e-01,-1.142600e+01
1.420000e+01,2.432800e-01,-1.145133e+01
1.430000e+01,2.243467e-01,-1.127667e+01
1.440000e+01,2.377867e-01,-1.108333e+01
1.450000e+01,2.210400e-01,-1.146333e+01
1.460000e+01,2.185067e-01,-1.151800e+01
1.470000e+01,2.341867e-01,-1.134000e+01
1.480000e+01,2.256800e-01,-1.156067e+01
1.490000e+01,2.439200e-01,-1.142600e+01
1.500000e+01,3.010933e-01,-1.135467e+01
1.510000e+01,2.258667e-01,-1.135933e+01
1.520000e+01,2.269067e-01,-1.122867e+01
1.530000e+01,2.312533e-01,-1.146867e+01
1.540000e+01,2.216800e-01,-1.128800e+01
1.550000e+01,2.234667e-01,-1.145533e+01
1.560000e+01,2.292800e-01,-1.137933e+01
1.570000e+01,2.277600e-01,-1.147000e+01
1.580000e+01,2.357600e-01,-1.135933e+01
1.590000e+01,2.262133e-01,-1.142333e+01
1.600000e+01,2.231200e-01,-1.142200e+01
1.610000e+01,2.228533e-01,-1.139067e+01
1.620000e+01,2.612533e-01,-1.147267e+01
1.630000e+01,2.350133e-01,-1.150600e+01
1.640000e+01,2.261333e-01,-1.151533e+01
1.650000e+01,2.228533e-01,-1.163467e+01
1.660000e+01,2.303733e-01,-1.145400e+01
1.670000e+01,2.301333e-01,-1.149933e+01
1.680000e+01,2.348800e-01,-1.142333e+01
1.690000e+01,2.372000e-01,-1.147600e+01
1.700000e+01,2.270667e-01,-1.124800e+01
1.710000e+01,2.333867e-01,-1.148000e+01
1.720000e+01,2.105067e-01,-1.138267e+01
1.730000e+01,2.000267e-01,-1.134400e+01
1.740000e+01,2.347733e-01,-1.135933e+01
1.750000e+01,2.248000e-01,-1.126733e+01
1.760000e+01,2.322933e-01,-1.148400e+01
1.770000e+01,2.218667e-01,-1.141400e+01
1.780000e+01,2.294933e-01,-1.136733e+01
1.790000e+01,2.371467e-01,-1.146733e+01
1.800000e+01,2.270667e-01,-1.136067e+01
1.810000e+01,2.290400e-01,-1.148933e+01
1.820000e+01,2.849867e-01,-1.127000e+01
1.830000e+01,2.276533e-01,-1.135933e+01
1.840000e+01,2.460800e-01,-1.151000e+01
1.850000e+01,2.223200e-01,-1.122600e+01
1.860000e+01,2.256800e-01,-1.146200e+01
1.870000e+01,2.315200e-01,-1.142333e+01
1.880000e+01,2.336267e-01,-1.117933e+01
1.890000e+01,2.299733e-01,-1.134000e+01
1.900000e+01,2.263200e-01,-1.125600e+01
1.910000e+01,2.250933e-01,-1.133267e+01
1.920000e+01,2.230667e-01,-1.158533e+01
1.930000e+01,2.350133e-01,-1.127800e+01
1.940000e+01,2.134133e-01,-1.170600e+01
1.950000e+01,2.285867e-01,-1.138133e+01
1.960000e+01,2.245333e-01,-1.140467e+01
1.970000e+01,2.300267e-01,-1.139733e+01
1.980000e+01,2.324000e-01,-1.139200e+01
1.990000e+01,2.261333e-01,-1.147467e+01
2.000000e+01,2.245333e-01,-1.144133e+01
2.010000e+01,2.232000e-01,-1.145400e+01
2.020000e+01,2.222667e-01,-1.128800e+01
2.030000e+01,2.249333e-01,-1.153067e+01
2.040000e+01,2.317600e-01,-1.130533e+01
2.050000e+01,2.573600e-01,-1.128800e+01
2.060000e+01,2.218133e-01,-1.130533e+01
2.070000e+01,2.085867e-01,-1.129600e+01
2.080000e+01,2.229067e-01,-1.153600e+01
2.090000e+01,2.332000e-01,-1.136600e+01
2.100000e+01,2.241067e-01,-1.145533e+01
2.110000e+01,2.282933e-01,-1.144667e+01
2.120000e+01,2.213333e-01,-1.145267e+01
2.130000e+01,2.425867e-01,-1.147733e+01
2.140000e+01,2.270133e-01,-1.158533e+01
2.150000e+01,2.381333e-01,-1.142467e+01
2.160000e+01,2.266667e-01,-1.147600e+01
2.170000e+01,2.774133e-01,-1.078000e+01
2.180000e+01,2.331467e-01,-1.151400e+01
2.190000e+01,2.281067e-01,-1.139067e+01
2.200000e+01,2.278933e-01,-1.147733e+01
2.210000e+01,2.282400e-01,-1.136467e+01
2.220000e+01,2.236533e-01,-1.140600e+01
2.230000e+01,2.303200e-01,-1.139600e+01
2.240000e+01,2.243467e-01,-1.153333e+01
2.250000e+01,2.737600e-01,-1.135600e+01
2.260000e+01,2.381867e-01,-1.142800e+01
2.270000e+01,2.282933e-01,-1.136733e+01
2.280000e+01,2.264800e-01,-1.134667e+01
2.290000e+01,2.233600e-01,-1.158133e+01
2.300000e+01,2.334933e-01,-1.145400e+01
2.310000e+01,2.247467e-01,-1.153733e+01
2.320000e+01,2.223733e-01,-1.135200e+01
2.330000e+01,2.285867e-01,-1.154867e+01
2.340000e+01,2.289867e-01,-1.143200e+01
2.350000e+01,2.398667e-01,-1.210533e+01
2.360000e+01,2.294400e-01,-1.133600e+01
2.370000e+01,2.357067e-01,-1.141533e+01
2.380000e+01,2.431733e-01,-1.143733e+01
2.390000e+01,2.263200e-01,-1.151667e+01
2.400000e+01,2.238400e-01,-1.145267e+01
2.410000e+01,2.213867e-01,-1.134400e+01
2.420000e+01,2.228533e-01,-1.135933e+01
2.430000e+01,2.851733e-01,-1.129867e+01
2.440000e+01,2.022933e-01,-1.130800e+01
2.450000e+01,2.235467e-01,-1.143200e+01
2.460000e+01,2.317067e-01,-1.144933e+01
2.470000e+01,2.256800e-01,-1.142800e+01
2.480000e+01,2.302667e-01,-1.131933e+01
2.490000e+01,2.279467e-01,-1.138133e+01
2.500000e+01,2.267733e-01,-1.142333e+01
2.510000e+01,2.462933e-01,-1.149200e+01
2.520000e+01,2.229600e-01,-1.159800e+01
2.530000e+01,2.192000e-01,-1.144933e+01
2.540000e+01,2.209867e-01,-1.150200e+01
2.550000e+01,2.248800e-01,-1.095133e+01
2.560000e+01,2.291467e-01,-1.135600e+01
2.570000e+01,2.299733e-01,-1.139333e+01
2.580000e+01,2.267200e-01,-1.148667e+01
2.590000e+01,2.550933e-01,-1.140733e+01
2.600000e+01,2.145600e-01,-1.141400e+01
2.610000e+01,1.745333e-01,-1.157600e+01
2.620000e+01,2.299733e-01,-1.139333e+01
2.630000e+01,2.285067e-01,-1.130933e+01
2.640000e+01,1.989333e-01,-1.127000e+01
2.650000e+01,2.277600e-01,-1.155267e+01
2.660000e+01,2.210933e-01,-1.140867e+01
2.670000e+01,2.281067e-01,-1.146333e+01
2.680000e+01,2.215200e-01,-1.154267e+01
2.690000e+01,2.257333e-01,-1.142333e+01
2.700000e+01,2.363467e-01,-1.130133e+01
2.710000e+01,2.353600e-01,-1.136067e+01
2.720000e+01,2.290400e-01,-1.141267e+01
2.730000e+01,2.288000e-01,-1.138933e+01
2.740000e+01,2.327467e-01,-1.133267e+01
2.750000e+01,2.229067e-01,-1.146333e+01
2.760000e+01,2.269600e-01,-1.151400e+01
2.770000e+01,1.686933e-01,-1.158800e+01
2.780000e+01,2.307733e-01,-1.135067e+01
2.790000e+01,2.213333e-01,-1.137933e+01
2.800000e+01,2.337867e-01,-1.131933e+01
2.810000e+01,2.450933e-01,-1.132733e+01
2.820000e+01,2.273600e-01,-1.143333e+01
2.830000e+01,2.294400e-01,-1.134400e+01
2.840000e+01,2.295733e-01,-1.142933e+01
2.850000e+01,2.383733e-01,-1.121333e+01
2.860000e+01,2.397067e-01,-1.148267e+01
2.870000e+01,2.250400e-01,-1.136200e+01
2.880000e+01,2.242400e-01,-1.096000e+01
2.890000e+01,2.251467e-01,-1.131933e+01
2.900000e+01,2.344800e-01,-1.145267e+01
2.910000e+01,2.275467e-01,-1.143067e+01
2.920000e+01,2.256800e-01,-1.149600e+01
2.930000e+01,2.308267e-01,-1.142800e+01
2.940000e+01,2.248000e-01,-1.132200e+01
2.950000e+01,2.248800e-01,-1.139867e+01
2.960000e+01,2.307733e-01,-1.128200e+01
2.970000e+01,2.252800e-01,-1.126867e+01
2.980000e+01,2.366400e-01,-1.138800e+01
2.990000e+01,2.320000e-01,-1.142467e+01
3.000000e+01,2.311733e-01,-1.145800e+01
3.010000e+01,2.243467e-01,-1.151933e+01
3.020000e+01,2.261333e-01,-1.151133e+01
3.030000e+01,2.237067e-01,-1.149600e+01
3.040000e+01,2.047200e-01,-1.156600e+01
3.050000e+01,2.192533e-01,-1.145267e+01
3.060000e+01,2.354133e-01,-1.143067e+01
3.070000e+01,2.237600e-01,-1.147600e+01
3.080000e+01,2.303200e-01,-1.147600e+01
3.090000e+01,2.296267e-01,-1.137267e+01
3.100000e+01,2.294933e-01,-1.137800e+01
3.110000e+01,2.284533e-01,-1.130133e+01
3.120000e+01,2.813867e-01,-1.132067e+01
3.130000e+01,2.303733e-01,-1.166933e+01
3.140000e+01,2.285867e-01,-1.133267e+01
3.150000e+01,2.277600e-01,-1.146200e+01
3.160000e+01,2.295733e-01,-1.138800e+01
3.170000e+01,2.250933e-01,-1.127133e+01
3.180000e+01,2.266667e-01,-1.140267e+01
3.190000e+01,2.209333e-01,-1.132067e+01
3.200000e+01,2.245333e-01,-1.146867e+01
3.210000e+01,2.216267e-01,-1.134533e+01
3.220000e+01,2.347200e-01,-1.153733e+01
3.230000e+01,2.272533e-01,-1.135200e+01
3.240000e+01,2.424267e-01,-1.154467e+01
3.250000e+01,2.294933e-01,-1.134000e+01
3.260000e+01,2.326933e-01,-1.148000e+01
3.270000e+01,2.327467e-01,-1.130533e+01
3.280000e+01,2.366400e-01,-1.141533e+01
3.290000e+01,2.300800e-01,-1.126467e+01
3.300000e+01,2.286400e-01,-1.156467e+01
3.310000e+01,2.306133e-01,-1.203000e+01
3.320000e+01,2.607200e-01,-1.141667e+01
3.330000e+01,2.104000e-01,-1.197800e+01
3.340000e+01,2.298400e-01,-1.148133e+01
3.350000e+01,1.494133e-01,-1.144400e+01
3.360000e+01,2.335467e-01,-1.129333e+01
3.370000e+01,2.246400e-01,-1.138533e+01
3.380000e+01,2.301867e-01,-1.152667e+01
3.390000e+01,2.696267e-01,-1.148133e+01
3.400000e+01,2.277600e-01,-1.121800e+01
3.410000e+01,2.241067e-01,-1.137667e+01
3.420000e+01,2.309600e-01,-1.131533e+01
3.430000e+01,2.244000e-01,-1.136333e+01
3.440000e+01,2.234667e-01,-1.133267e+01
3.450000e+01,2.292800e-01,-1.143067e+01
3.460000e+01,2.294400e-01,-1.138133e+01
3.470000e+01,2.321600e-01,-1.120133e+01
3.480000e+01,2.894933e-01,-1.168867e+01
3.490000e+01,2.318667e-01,-1.148800e+01
3.500000e+01,2.348800e-01,-1.139067e+01
3.510000e+01,2.278133e-01,-1.149600e+01
3.520000e+01,2.137600e-01,-1.153600e+01
3.530000e+01,2.316533e-01,-1.137933e+01
3.540000e+01,2.256800e-01,-1.131933e+01
3.550000e+01,2.318667e-01,-1.130800e+01
3.560000e+01,2.216800e-01,-1.139733e+01
3.570000e+01,2.283467e-01,-1.152800e+01
3.580000e+01,2.243467e-01,-1.144533e+01
3.590000e+01,2.336267e-01,-1.137800e+01
3.600000e+01,2.233067e-01,-1.133000e+01
3.610000e+01,2.289333e-01,-1.141533e+01
3.620000e+01,2.508800e-01,-1.147000e+01
3.630000e+01,2.209333e-01,-1.137000e+01
3.640000e+01,2.250933e-01,-1.147600e+01
3.650000e+01,2.162400e-01,-1.143467e+01
3.660000e+01,2.270667e-01,-1.129867e+01
3.670000e+01,2.277600e-01,-1.137400e+01
3.680000e+01,2.357067e-01,-1.154000e+01
3.690000e+01,2.339733e-01,-1.148667e+01
3.700000e+01,2.325600e-01,-1.134667e+01
3.710000e+01,2.280533e-01,-1.141400e+01
3.720000e+01,2.338933e-01,-1.145400e+01
3.730000e+01,2.280533e-01,-1.133600e+01
3.740000e+01,2.215200e-01,-1.143733e+01
3.750000e+01,2.318133e-01,-1.131933e+01
3.760000e+01,2.179733e-01,-1.126867e+01
3.770000e+01,2.101600e-01,-1.144400e+01
3.780000e+01,2.311733e-01,-1.136600e+01
3.790000e+01,2.376800e-01,-1.124400e+01
3.800000e+01,2.317067e-01,-1.152533e+01
3.810000e+01,2.297867e-01,-1.131400e+01
3.820000e+01,2.288000e-01,-1.134667e+01
3.830000e+01,2.108533e-01,-1.155267e+01
3.840000e+01,2.278933e-01,-1.141133e+01
3.850000e+01,2.264267e-01,-1.147467e+01
3.860000e+01,2.224267e-01,-1.142200e+01
3.870000e+01,2.286933e-01,-1.123267e+01
3.880000e+01,2.347733e-01,-1.141400e+01
3.890000e+01,2.311200e-01,-1.155267e+01
3.900000e+01,2.258667e-01,-1.148000e+01
3.910000e+01,2.209867e-01,-1.143067e+01
3.920000e+01,2.283467e-01,-1.134533e+01
3.930000e+01,2.267200e-01,-1.148133e+01
3.940000e+01,2.231200e-01,-1.150333e+01
3.950000e+01,2.313600e-01,-1.147000e+01
3.960000e+01,2.266667e-01,-1.143867e+01
3.970000e+01,1.963733e-01,-1.143333e+01
3.980000e+01,2.312533e-01,-1.146200e+01
3.990000e+01,2.086400e-01,-1.142600e+01
4.000000e+01,2.299733e-01,-1.137267e+01
4.010000e+01,2.223733e-01,-1.131933e+01
4.020000e+01,2.280000e-01,-1.146733e+01
4.030000e+01,2.248800e-01,-1.144133e+01
4.040000e+01,2.296267e-01,-1.132200e+01
4.050000e+01,2.283467e-01,-1.148667e+01
4.060000e+01,1.795733e-01,-1.154600e+01
4.070000e+01,2.317067e-01,-1.140000e+01
4.080000e+01,2.333333e-01,-1.138267e+01
4.090000e+01,2.408533e-01,-1.143867e+01
4.100000e+01,2.292800e-01,-1.139467e+01
4.110000e+01,2.255733e-01,-1.138267e+01
4.120000e+01,2.365067e-01,-1.151267e+01
4.130000e+01,2.347733e-01,-1.144400e+01
4.140000e+01,1.481333e-01,-1.173267e+01
4.150000e+01,2.322133e-01,-1.128600e+01
4.160000e+01,2.324533e-01,-1.126733e+01
4.170000e+01,2.253867e-01,-1.134800e+01
4.180000e+01,2.264267e-01,-1.147467e+01
4.190000e+01,2.332000e-01,-1.148267e+01
4.200000e+01,2.280000e-01,-1.141267e+01
4.210000e+01,2.283467e-01,-1.148000e+01
4.220000e+01,2.293867e-01,-1.146867e+01
4.230000e+01,2.177333e-01,-1.148533e+01
4.240000e+01,2.163467e-01,-1.162400e+01
4.250000e+01,2.222133e-01,-1.146733e+01
4.260000e+01,2.168267e-01,-1.151400e+01
4.270000e+01,2.236533e-01,-1.143600e+01
4.280000e+01,2.280533e-01,-1.141400e+01
4.290000e+01,2.382400e-01,-1.133733e+01
4.300000e+01,2.258667e-01,-1.147867e+01
4.310000e+01,2.207467e-01,-1.147133e+01
4.320000e+01,2.278133e-01,-1.145933e+01
4.330000e+01,2.259200e-01,-1.130667e+01
4.340000e+01,2.304267e-01,-1.152800e+01
4.350000e+01,2.410400e-01,-1.138667e+01
4.360000e+01,2.281600e-01,-1.150200e+01
4.370000e+01,2.264267e-01,-1.139200e+01
4.380000e+01,2.237067e-01,-1.142333e+01
4.390000e+01,2.227200e-01,-1.135333e+01
4.400000e+01,2.321600e-01,-1.139733e+01
4.410000e+01,2.303733e-01,-1.126467e+01
4.420000e+01,2.205867e-01,-1.138533e+01
4.430000e+01,2.261333e-01,-1.150200e+01
4.440000e+01,2.260800e-01,-1.153733e+01
4.450000e+01,2.209333e-01,-1.145800e+01
4.460000e+01,2.273600e-01,-1.126867e+01
4.470000e+01,1.725067e-01,-1.130933e+01
4.480000e+01,2.324000e-01,-1.135933e+01
4.490000e+01,2.126400e-01,-1.143333e+01
4.500000e+01,2.298400e-01,-1.143067e+01
4.510000e+01,2.198400e-01,-1.137267e+01
4.520000e+01,2.239467e-01,-1.135800e+01
4.530000e+01,2.210400e-01,-1.147000e+01
4.540000e+01,2.292267e-01,-1.154267e+01
4.550000e+01,2.264800e-01,-1.134133e+01
4.560000e+01,2.237600e-01,-1.152667e+01
4.570000e+01,2.264800e-01,-1.129333e+01
4.580000e+01,2.535467e-01,-1.116267e+01
4.590000e+01,2.332000e-01,-1.145133e+01
4.600000e+01,2.356533e-01,-1.110400e+01
4.610000e+01,2.284000e-01,-1.145800e+01
4.620000e+01,2.305333e-01,-1.138133e+01
4.630000e+01,2.311733e-01,-1.149333e+01
4.640000e+01,2.156533e-01,-1.190533e+01
4.650000e+01,2.260267e-01,-1.138533e+01
4.660000e+01,2.239467e-01,-1.138400e+01
4.670000e+01,2.314667e-01,-1.141667e+01
4.680000e+01,2.264800e-01,-1.128600e+01
4.690000e+01,2.263733e-01,-1.135800e+01
4.700000e+01,2.160000e-01,-1.147133e+01
4.710000e+01,2.230133e-01,-1.145533e+01
4.720000e+01,2.293867e-01,-1.129200e+01
4.730000e+01,2.189067e-01,-1.162800e+01
4.740000e+01,2.276000e-01,-1.139467e+01
4.750000e+01,2.374400e-01,-1.147133e+01
4.760000e+01,2.246400e-01,-1.148133e+01
4.770000e+01,2.359200e-01,-1.127667e+01
4.780000e+01,2.138667e-01,-1.126467e+01
4.790000e+01,2.280533e-01,-1.147600e+01
4.800000e+01,2.319467e-01,-1.138133e+01
4.810000e+01,2.277067e-01,-1.144133e+01
4.820000e+01,2.336800e-01,-1.136333e+01
4.830000e+01,2.269600e-01,-1.134133e+01
4.840000e+01,2.154933e-01,-1.143467e+01
4.850000e+01,2.336800e-01,-1.155933e+01
4.860000e+01,2.225600e-01,-1.164333e+01
4.870000e+01,2.229067e-01,-1.151667e+01
4.880000e+01,2.450133e-01,-1.136867e+01
4.890000e+01,2.362133e-01,-1.136200e+01
4.900000e+01,2.344800e-01,-1.135200e+01
4.910000e+01,2.289333e-01,-1.139733e+01
4.920000e+01,2.443200e-01,-1.136333e+01
4.930000e+01,2.505867e-01,-1.136467e+01
4.940000e+01,2.222133e-01,-1.148533e+01
4.950000e+01,2.221600e-01,-1.141133e+01
4.960000e+01,2.271200e-01,-1.137933e+01
4.970000e+01,2.130667e-01,-1.116667e+01
4.980000e+01,2.546933e-01,-1.123267e+01
